Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount
8.0,7.0,5,Mobile,4,Divorced,7,0,3.0,157.94
22.0,14.0,4,Grocery,4,Married,7,0,7.0,231.2
10.0,16.0,3,Mobile,5,Divorced,7,0,3.0,134.52
8.0,12.0,5,Fashion,5,Single,4,0,9.0,241.31
15.0,6.0,3,Laptop & Accessory,3,Married,2,0,6.0,149.07
7.0,7.0,5,Laptop & Accessory,2,Single,2,0,5.0,194.49
1.0,6.0,3,Mobile,4,Single,2,1,2.0,123.02
19.0,15.0,4,Laptop & Accessory,2,Divorced,11,0,9.0,161.97
22.0,7.0,5,Grocery,5,Married,9,0,3.0,279.02
27.0,14.0,4,Others,3,Married,5,0,8.0,311.06
0.0,17.0,1,Laptop & Accessory,3,Married,1,0,3.0,140.11
26.0,14.0,3,Grocery,1,Married,6,0,7.0,218.36
1.0,7.0,4,Mobile,4,Single,3,1,3.0,148.02
1.0,7.0,5,Fashion,3,Divorced,7,0,7.0,231.09
16.0,12.0,4,Fashion,4,Single,11,1,7.0,209.46
6.0,12.0,2,Mobile,4,Married,2,1,6.0,157.98
1.0,25.0,4,Mobile,2,Single,3,0,1.0,151.93
5.0,7.0,3,Mobile,3,Married,2,0,1.0,112.23
16.0,8.0,3,Laptop & Accessory,1,Married,2,0,7.0,156.75
1.0,17.0,4,Laptop & Accessory,1,Single,2,0,2.0,174.5
0.0,28.0,3,Laptop & Accessory,3,Divorced,2,1,7.0,161.79
1.0,26.0,3,Laptop & Accessory,2,Single,10,1,5.0,178.04
7.0,17.0,2,Fashion,3,Married,2,1,9.0,208.8
16.0,8.0,4,Fashion,1,Married,1,0,9.0,201.69
29.0,9.0,4,Grocery,1,Single,4,1,3.0,291.59
14.0,8.0,4,Laptop & Accessory,1,Married,6,0,4.0,190.13
2.0,26.0,5,Mobile,5,Divorced,3,0,4.0,156.96
7.0,30.0,4,Fashion,1,Single,3,1,13.0,259.58
8.0,18.0,5,Laptop & Accessory,4,Married,6,0,9.0,169.9
11.0,8.0,4,Laptop & Accessory,2,Divorced,4,0,5.0,152.49
11.0,12.0,3,Mobile,5,Single,4,0,0.0,126.19
9.0,16.0,5,Fashion,3,Married,3,1,16.0,231.85
4.0,26.0,1,Mobile,2,Divorced,1,0,2.0,127.91
0.0,6.0,4,Fashion,3,Divorced,6,0,7.0,206.09
23.0,14.0,3,Mobile,4,Divorced,8,0,2.0,138.75
16.0,7.0,5,Laptop & Accessory,2,Divorced,11,1,3.0,185.62
1.0,9.0,3,Mobile,4,Single,5,0,2.0,120.88
11.0,31.0,4,Fashion,4,Divorced,4,0,7.0,220.61
16.0,15.0,4,Laptop & Accessory,4,Married,2,0,3.0,193.25
1.0,18.0,4,Laptop & Accessory,5,Married,3,1,4.0,172.41
5.0,11.0,3,Laptop & Accessory,4,Divorced,2,0,3.0,165.24
16.0,11.0,4,Laptop & Accessory,5,Single,9,0,6.0,176.55
8.0,34.0,1,Laptop & Accessory,3,Married,2,0,8.0,134.07
22.0,26.0,3,Laptop & Accessory,5,Married,2,0,11.0,165.67
3.0,17.0,4,Mobile,4,Married,2,0,2.0,157.91
9.0,9.0,4,Fashion,2,Divorced,5,0,12.0,196.99
7.0,24.0,5,Mobile,3,Married,11,1,1.0,149.37
5.0,12.0,4,Laptop & Accessory,3,Married,3,0,3.0,208.46
4.0,7.0,5,Fashion,3,Single,3,0,7.0,209.74
2.0,36.0,6,Laptop & Accessory,4,Married,3,0,8.0,190.49
1.0,7.0,4,Laptop & Accessory,4,Divorced,2,1,5.0,188.49
5.0,9.0,4,Mobile,3,Married,3,0,4.0,159.77
